text,actual,method,pred_label,pred_binary,category,confidence,score_toxic,rationale,latency,tokens_per_sec,valid_json,tries,raw_output
This project was doomed when the Governor alienated every industry expert and became the lone wolf.  Alaska is and will continue to suffer under the reckless hand of this uneven hand at the tiller.,0,A_direct,TOXIC,1.0,threat,0.95,0.95,Aggressive and threatening language.,2265.1023864746094,12.361472120286367,True,1," {""label"":""TOXIC"",""category"":""threat"",""confidence"":0.95,""short_rationale"":""Aggressive and threatening language.""}"""
The North Slope still has plenty of oil according to DNR and the USGS. The question is what policies should the state have in place to attract capital and companies to invest the resources and money to get the oil out of the ground. Threatening to change our fiscal policy every 6 months and not honoring commitments made to the industry might not be the best answer. Chanting its our oil also doesn't get us there.,0,A_direct,NON_TOXIC,0.0,none,0.99,0.010000000000000009,Balanced and reasoned discussion about oil exploration policies.,2568.0088996887207,13.239829505311015,True,1," {""label"":""NON_TOXIC"",""category"":""none"",""confidence"":0.99,""short_rationale"":""Balanced and reasoned discussion about oil exploration policies.""}"
"Such backlash is silly but it's not an example of ""political correctness""... that is something else entirely.

Words are losing all meaning these days",1,A_direct,NON_TOXIC,0.0,none,0.99,0.010000000000000009,Balanced critique highlighting the loss of meaning in modern communication.,2918.7231063842773,14.04723864018431,True,1,"
```
{""label"":""NON_TOXIC"",""category"":""none"",""confidence"":0.99,""short_rationale"":""Balanced critique highlighting the loss of meaning in modern communication.""}
```"
"""In 2014, Denver's Department of Environmental Health (DEH) reported that residents in the north Denver neighborhoods adjacent to I-70 experience a 50% higher rate of mortality from heart disease than other neighborhoods in Denver not affected by highway pollution""

Link: https://www.puebloevents.net/07/13/2017/denver-i-70-clean-air-act-lawsuit-fundraiser/",0,A_direct,DEFER,,other,0.0,0.5,Invalid JSON after retry.,4302.852630615234,5.740706607853747,False,2,
"Do you have dementia like your hero, the dotard trump?  As I said, I AM laughing.   Laughing at you!  And speaking of dementia, did you forget to answer my question to you last week?  Do you consider trump a ""good guy,"" even though he has admitted doing some pretty vile things like sexually assaulting women?",1,A_direct,TOXIC,1.0,threat,0.85,0.85,"Aggressive tone, personal attack, and attempt to shame and humiliate the other person.",2925.050973892212,13.674975361805096,True,1," {""label"":""TOXIC"",""category"":""threat"",""confidence"":0.85,""short_rationale"":""Aggressive tone, personal attack, and attempt to shame and humiliate the other person.""}"
"too funny: ""I found her not photogenic at all - somehow in most of the pictures I see of her, she either looking at someone like she would like to punch them on the nose or is scowling....""

Yes, unlike the smilingly effervescent and handsome-to-a-fault Donald Trump.

Apparently his comb-over is anchored to his jowls, making his ever present scowl a neo-medical necessity.",0,A_direct,TOXIC,1.0,other,0.95,0.95,Critique of appearance and personality combined with derogatory language.,2613.2845878601074,12.627786561517246,True,1," {""label"":""TOXIC"",""category"":""other"",""confidence"":0.95,""short_rationale"":""Critique of appearance and personality combined with derogatory language.""}"
The condescending idiot can make for an amusing character in a movie or TV show; not so much in a comment forum Seth.,1,A_direct,NON_TOXIC,0.0,none,0.99,0.010000000000000009,Normal disagreement with constructive criticism.,2471.6696739196777,12.94671385001583,True,1,"
{""label"":""NON_TOXIC"",""category"":""none"",""confidence"":0.99,""short_rationale"":""Normal disagreement with constructive criticism.""}"
How much longer will you be able to hold down yours?   Do you feel a 3 a.m. Tweet coming on? Do you need a tissue or maybe some cheese with that whine?,0,A_direct,DEFER,,other,0.0,0.5,Invalid JSON after retry.,3918.7004566192627,5.632331007487673,False,2,
She should've retired a long time ago. (She constantly says such outright lies!   I can't stand the sight of her or Maxine Waters (who also says a lot of stupid stuff).  We need to clean house.  All the 15 to 30 year Congress people need to get out!!!,1,A_direct,TOXIC,1.0,hate,0.95,0.95,Aggressive and hateful language targeting an individual and group.,2579.756259918213,12.791906162889285,True,1," {""label"":""TOXIC"",""category"":""hate"",""confidence"":0.95,""short_rationale"":""Aggressive and hateful language targeting an individual and group.""}"
Pruitt should try scuba diving on a tank of co2.,1,A_direct,NON_TOXIC,0.0,none,0.99,0.010000000000000009,Normal disagreement without insult or toxicity.,2441.242218017578,13.517708221021099,True,1,"
{""label"":""NON_TOXIC"",""category"":""none"",""confidence"":0.99,""short_rationale"":""Normal disagreement without insult or toxicity.""}"
Rosemarie Tucker what would we learn from another intelligent life-form? Maybe we would learn why there are so few of us in the universe? Why it is so likely that intelligent life forms might destroy their own planet.,0,A_direct,NON_TOXIC,0.0,none,0.99,0.010000000000000009,Thought-provoking question without insult or negativity.,2636.3208293914795,13.276077634329038,True,1,"
{""label"":""NON_TOXIC"",""category"":""none"",""confidence"":0.99,""short_rationale"":""Thought-provoking question without insult or negativity.""}"
"Deceiving. All the anorexic bulemic women I know ALWAYS have a glass of white wine in their hand. They talk about food. They claim to overindulge when they have a cracker. BUT in reality, nothing passes through those artificially injected lips into that tummy tucked body, but alcohol. On the other hand, most of the men I know who drink, also eat.",1,A_direct,TOXIC,1.0,threat,0.95,0.95,"Aggressive and accusatory tone, insinuating guilt by linking women's body image to alcohol consumption and implying male drinkers engage in similar behavior.",4105.801105499268,12.421449234764715,True,1," {""label"":""TOXIC"",""category"":""threat"",""confidence"":0.95,""short_rationale"":""Aggressive and accusatory tone, insinuating guilt by linking women's body image to alcohol consumption and implying male drinkers engage in similar behavior.""}"
"making them citizens of this great country is a ""darkly uncertain future""? Just silliness!",1,A_direct,NON_TOXIC,0.0,none,0.99,0.010000000000000009,Balanced and informative response that acknowledges uncertainty without resorting to insults or threats.,2819.544792175293,14.186687195396459,True,1,"
{""label"":""NON_TOXIC"",""category"":""none"",""confidence"":0.99,""short_rationale"":""Balanced and informative response that acknowledges uncertainty without resorting to insults or threats.""}"
De Tocqueville was a classic liberal.  Your quote is not from DeTocqueville. Feel free to quit copying from right wing nut websites.,0,A_direct,NON_TOXIC,0.0,none,0.99,0.010000000000000009,Normal disagreement without insult or hostility.,2547.952890396118,12.951573839683373,True,1,"
{""label"":""NON_TOXIC"",""category"":""none"",""confidence"":0.99,""short_rationale"":""Normal disagreement without insult or hostility.""}"
What you call lecturing I say is pointing out hypocrisy.,1,A_direct,NON_TOXIC,0.0,none,0.99,0.010000000000000009,Normal disagreement without abuse.,2281.6827297210693,13.148190854592405,True,1," {""label"":""NON_TOXIC"",""category"":""none"",""confidence"":0.99,""short_rationale"":""Normal disagreement without abuse.""}"
Nonsense.  Pence isn't looking at running 2020.  Rather he is preparing to be appointed POTUS in 2018 when Trump's Singularity of Stupid finally implodes.,1,A_direct,NON_TOXIC,0.0,none,0.99,0.010000000000000009,Normal disagreement without insult or toxicity.,2769.073247909546,11.917344557393944,True,1,"
{""label"":""NON_TOXIC"",""category"":""none"",""confidence"":0.99,""short_rationale"":""Normal disagreement without insult or toxicity.""}"
"These are the terrorist of the modern world, nothing else.",1,A_direct,NON_TOXIC,0.0,none,0.99,0.010000000000000009,No evidence of toxicity or hate.,2683.122396469116,12.299103478628744,True,1,"
{""label"":""NON_TOXIC"",""category"":""none"",""confidence"":0.99,""short_rationale"":""No evidence of toxicity or hate.""}"
"""Man hasn't an influence on her."" 

There it is folks, the stupidest thing you'll ever read. The inanity, the ignorance, the arrogance, all of it. 

Literally, the stupidest thing a person could ever say is that we don't have any influence over our environment. Let me come spill some mercury on your *expletive removed* yard. I wish I could curse in this post.",1,A_direct,TOXIC,1.0,threat,0.95,0.95,"Aggressive and insulting tone, veiled threat of harm.",2665.912628173828,12.378500199612795,True,1," {""label"":""TOXIC"",""category"":""threat"",""confidence"":0.95,""short_rationale"":""Aggressive and insulting tone, veiled threat of harm.""}"
Finally. Glad it ended without more violence.,0,A_direct,NON_TOXIC,0.0,none,0.99,0.010000000000000009,Acknowledgement of resolution without escalation.,2360.781192779541,13.131246595327694,True,1," {""label"":""NON_TOXIC"",""category"":""none"",""confidence"":0.99,""short_rationale"":""Acknowledgement of resolution without escalation.""}"
"Coos, Umpqua and Siuslaw tribes are nothing but yellow bellied, cry baby, money hogging, cowering, bumbling fools. 

If the tribes had a brain to begin with, they could take this opportunity to forgive and help educate the younger generation about Native American and their history. With this, there is no saving face, because to me, it's an embarrassment to even call myself a native American. It just shows the world how bitter and nasty they are.

The tribes have forgotten, forgiveness is the key to the future.",1,A_direct,TOXIC,1.0,other,0.85,0.85,"Explicitly hateful language, derogatory terms, and generalizations about an entire group of people.",3075.521230697632,13.005925499960425,True,1," {""label"":""TOXIC"",""category"":""other"",""confidence"":0.85,""short_rationale"":""Explicitly hateful language, derogatory terms, and generalizations about an entire group of people.""}"
"Why is our media and the useful idiots so enamoured with a profession of pretenders who are paid a fortune to actually lie professionally convincing the audience they are who they pretend to be.  To top it off they are the most drug addicted, most degenerate, most perverted 'profession' I can name.  The only way to shut up these clowns is boycott their product.  Nothing else seems to work.  Personally I watch political shows now solely to see who their advertisers are so I know which businesses to boycott.",1,A_direct,TOXIC,1.0,other,0.95,0.95,"Critique of profession, derogatory language, and targeted insults.",3189.2268657684326,10.660891003063785,True,1," {""label"":""TOXIC"",""category"":""other"",""confidence"":0.95,""short_rationale"":""Critique of profession, derogatory language, and targeted insults.""}"
"Lol, no, it was those darned Hottentots! Such liars! The tone deafness of today's left with their deflection of why they are losing and their constant vilification of half of the country is astounding, isn't it?",1,A_direct,TOXIC,1.0,other,0.95,0.95,"Personal attack, sarcasm, and exaggeration.",2484.0807914733887,12.479465284063043,True,1," {""label"":""TOXIC"",""category"":""other"",""confidence"":0.95,""short_rationale"":""Personal attack, sarcasm, and exaggeration.""}"
"got kooks shooting cops, and other kooks blame trump? why, just hold a rally. that will solve the problem",1,A_direct,NON_TOXIC,0.0,none,0.99,0.010000000000000009,Provides context for the speaker's action and offers a potential solution.,2844.0024852752686,13.71306818539057,True,1," {""label"":""NON_TOXIC"",""category"":""none"",""confidence"":0.99,""short_rationale"":""Provides context for the speaker's action and offers a potential solution.""}"
"'
Bot trolls,

Monrovia or Romania 

...or Indonesia
.",1,A_direct,NON_TOXIC,0.0,none,0.99,0.010000000000000009,Normal disagreement without abuse.,3997.8456497192383,15.758487325398463,True,1,"
```
{""label"":""NON_TOXIC"",""category"":""none"",""confidence"":0.99,""short_rationale"":""Normal disagreement without abuse.""}
```

Explanation:
The comment expresses disagreement without resorting to insults or threats. The user is expressing their opinion and providing a justification for it."
"This is actually a salient point; especially since it is being framed as a ""matter of respect"" I would like to know what the local demographics are... if there really is no Muslim community in this municipality, the NIMBYs aren't the locals.",0,A_direct,NON_TOXIC,0.0,none,0.99,0.010000000000000009,Normal disagreement with factual basis.,2880.7120323181152,10.76122835334368,True,1," {""label"":""NON_TOXIC"",""category"":""none"",""confidence"":0.99,""short_rationale"":""Normal disagreement with factual basis.""}"
"There won't be church left.  Don't they realize most young people simply can't understand the idea of excluding women?  For my grandkids the only exclusions they find reasonable are physical such as strength in order to be a Ranger in the army or a fireperson yet women are even challenging those things.  The young people are not staying with the Church and I can see why.  They like the social good Pope Francis is pushing but the idea of women being unequal is too much for them.  It's simply a showstopper, something like saying the earth is flat.  The old men of the Church can't see that the young have left those kind of ideas behind and churches that espouse them also.",0,A_direct,TOXIC,1.0,other,0.95,0.95,Critique of Church teachings and beliefs based on personal beliefs and lack of understanding of modern societal trends.,3131.298780441284,13.412964697696804,True,1," {""label"":""TOXIC"",""category"":""other"",""confidence"":0.95,""short_rationale"":""Critique of Church teachings and beliefs based on personal beliefs and lack of understanding of modern societal trends.""}"
I love the ultra-christian right winger standing in a gas chamber warning us about ultra right wing christians from Europe some 70 odd years ago in order to advance his re-election efforts.  Hypocrtie.  Coward.,1,A_direct,TOXIC,1.0,hate,0.99,0.99,Aggressive and hateful language targeting religious and political groups.,2793.743848800659,13.601819657272165,True,1,"
```
{""label"":""TOXIC"",""category"":""hate"",""confidence"":0.99,""short_rationale"":""Aggressive and hateful language targeting religious and political groups.""}
```"
"I note that mental health is mentioned only in passing, and analysis on shooter motives is missing. The problem of gun violence will not abate as long as there is myopic focus on ""tightening gun laws."" Statistics should also reflect whether a shooter was sane, radicalized, involved in gang or organized crime, et cetera. The biggest mistake the Left makes in this discourse is to believe that if you just limit guns, you limit murder. 
Besides the NRA, hubris is a problem.",0,A_direct,DEFER,,other,0.0,0.5,Invalid JSON after retry.,3964.6716117858887,7.159992466895261,False,2,
"To take a quote from the political party who brought you the ACA (Obama Care) ""Barry Lied YOU GET SICK AND DIE""  Sorry to say but true.. how is the AFFORDABLE Care Act working?  Forty percent raise in rates, $5000.00 deductible, paperwork on and on unable to schedule a timely appointment. I'll fly to Mexico or Thailand and get any major procedure, I'd die waiting for treatment here. We all complain about programs not working,  I never saw anyone flying to CUBA , Canada, or Europe for medical care, every one comes here... no more.  Good luck with your utopia for all.  ""Life is tough, if your stupid it's TOUGHER."" (J Wayne)",1,A_direct,TOXIC,1.0,threat,0.85,0.85,"Aggressive tone, personal insults, and threats of action.",3107.0473194122314,10.942865204393435,True,1," {""label"":""TOXIC"",""category"":""threat"",""confidence"":0.85,""short_rationale"":""Aggressive tone, personal insults, and threats of action.""}"
"Oh really? You're the first one shouting foul now that the white male patriarchy is teetering and starting to fall. Your time is over, but you can't accept that, can you? Your lifestyle at the top of the food chain can't stand on its own and it's going away, but all you do is whine about it.",0,A_direct,TOXIC,1.0,threat,0.95,0.95,Aggressive and threatening language.,2302.748441696167,12.159382889159902,True,1," {""label"":""TOXIC"",""category"":""threat"",""confidence"":0.95,""short_rationale"":""Aggressive and threatening language.""}"
"Trump's ridiculous executive orders are just as ridiculous as ever. So far we know nothing about who was responsible for what happened in London but if it's anything like other recent attacks, it was nothing to do with immigrants, refugees or guys in the country on visas. Most recent attacks have been by local nationals and Trump's foolishness will not affect that one iota.",1,A_direct,NON_TOXIC,0.0,none,0.99,0.010000000000000009,Provides context and avoids personal attacks while acknowledging differing viewpoints.,2954.336404800415,13.877905012232288,True,1,"
```
{""label"":""NON_TOXIC"",""category"":""none"",""confidence"":0.99,""short_rationale"":""Provides context and avoids personal attacks while acknowledging differing viewpoints.""}
```"
"Gee How could that Be...??? beautiful downtown MOUNTAIN VIEW???...Where the Chronic Enebriates Mingle with the Chronic Care Patients..Gee How could that Be..??? What with Catholic Services Dumping Somali's in with the rest of the Below the Poverty Line Population..
Mountain View isn't a Community....It's a Deposit Box for the Human Refuse of Anchorage, that Anchorage doesn't want to,.. or Cant Deal With.....Enuf Said",1,A_direct,DEFER,,other,0.0,0.5,Invalid JSON after retry.,3787.4958515167236,7.04602032257541,False,2,
"And it only cost $10 trillion dollars doubling the national debt in 8 years. Obama has racked up more debt than all other presidents combined.

How's the billions wasted on debt servicing every month?

And your ""self-sufficiency with oil"" is a lot of garbage",1,A_direct,TOXIC,1.0,threat,0.95,0.95,"Aggressive tone, accusatory language, and threat of negative consequences.",3047.990560531616,11.811060200173667,True,1," {""label"":""TOXIC"",""category"":""threat"",""confidence"":0.95,""short_rationale"":""Aggressive tone, accusatory language, and threat of negative consequences.""}"
"But Real Albertans don't need no stinking models. Everything positive about confederation, Every Single Good enjoyed by Every Canadian Everywhere, including those ungrateful bastards in Quebec, is paid for exclusively by money stollen from Albertans.

This is an article of faith. As you can see in the comments here. T",1,A_direct,NON_TOXIC,0.0,none,0.99,0.010000000000000009,Analysis of positive aspects of confederation with justification.,2667.6318645477295,13.120251135526866,True,1," {""label"":""NON_TOXIC"",""category"":""none"",""confidence"":0.99,""short_rationale"":""Analysis of positive aspects of confederation with justification.""}"
